02130000400,2374,"02130000102,02130000300"
02170001004,5182,"02170001100,02170000800,02170000900,02170001001,02170001003,02170000601"
02170000701,3830,"02170000603,02170000706,02170000703,02170000401,02170000402,02170000501"
02170000102,2607,"02170000101,02170000200,02170000300,02170000402"
02170000604,7470,"02170000502,02020002301,02020980200,02170000603,02020001300,02020000500,02020980100,02170000601,02170000501"
02170000705,4279,"02170000706,02170000800,02170000703,02170001001,02170001003"
02122000701,5876,"02122000100,02122000400,02122000500,02122000800,02122000702"
02122000702,4814,"02122000100,02122000500,02122000701,02122000600"
02020002602,5746,"02020002603,02020002601,02020980000,02020001802"
02020002811,6519,"02020002601,02020002812,02020002712"
02020002813,4796,"02020980200,02020002900,02020980000,02020002823,02020002822,02020002812"
02240000100,2113,"02290000100,02066000100,02240000400,02090001700"
02130000102,484,"02275000300,02198000300,02198940100,02130000101,02130000300,02130000400,02130000200,02198000100"
02130000101,2894,"02130000102,02130000200"
02170000101,700,"02068000100,02290000400,02050000300,02170000502,02170000200,02066000100,02240000400,02122000100,02170000402,02170000102,02122000200"
02170000703,4671,"02170000603,02170000706,02170000800,02170000900,02170000701,02170000705"
02170000402,2193,"02170000101,02170000502,02170000300,02170000706,02170000701,02170000401,02170000102"
02170001001,4391,"02170001100,02170000300,02170000706,02170000705,02170001004,02170001003"
02013000100,3420,"02164000100,02016000200"
02180000100,6140,"02180000200,02290000300,02188000100,02158000100,02290000400"
02180000200,3906,"02180000100"
02170000401,1975,"02170000502,02170000701,02170000402,02170000501"
02170001201,5621,"02170001100,02170001300,02170000300,02170001202"
02170000706,5702,"02170000300,02170000701,02170000703,02170000705,02170001001,02170000402"
02170000601,5880,"02170001100,02170001300,02020980200,02170000603,02170000900,02170001004,02170000604,02020000101,02020000102"
02100000100,2080,"02105000400,02110000100,02110000500,02230000100"
02063000300,4470,"02170000200,02063000200,02066000100,02020000101,02020002900,02122000300,02122001300"
02066000100,2617,"02170000101,02170000200,02063000200,02063000300,02240000100,02240000400,02282000100"
02063000200,2632,"02063000300,02066000100,02282000100"
02020001300,3227,"02020001401,02020002301,02020002201,02020002202,02020000500,02170000604,02020001200,02020002100"
02020000703,5555,"02020980200,02020980100,02020000702,02020001731"
02020000801,6814,"02020000602,02020980100,02020000701,02020000901,02020000802"
02020000802,4759,"02020001602,02020000801,02020001601,02020001702"
02020000902,3158,"02020001000,02020001500,02020000901,02020001601"
02020001732,6111,"02020980200,02020001731,02020980000,02020001701"
02020002712,9027,"02020002501,02020002502,02020002811,02020002601,02020002812,02020002711,02020002713,02020002714,02020002305"
02020002711,6817,"02020002301,02122000200,02020002713,02020002714,02020002304,02020002712,02020002305"
02020000702,5435,"02020980100,02020000701,02020000703,02020001702,02020001731"
02020000901,5090,"02020000902,02020001000,02020000602,02020000601,02020000801,02020001601"
02020000102,5215,"02020980200,02020000201,02020000204,02170000601,02020000202,02020000101,02020000206"
02020000701,6986,"02020980100,02020000702,02020000801,02020001702"
02020000202,6384,"02020000201,02020000205,02020000102,02020000206"
02020000204,3582,"02020980200,02020000201,02020000101,02020002900,02020000205,02020000102,02020000206"
02020001200,3749,"02020001402,02020001401,02020001000,02020001300,02020000500,02020001100"
02020001000,3942,"02020001402,02020000902,02020000601,02020000901,02020001100,02020001200"
02020002812,8359,"02020002811,02020002603,02020980000,02020002813,02020002822,02020002713,02020002712,02020002821"
02020002823,5720,"02020002900,02122000300,02020002813,02020002822,02020002713"
02020000101,5650,"02170001300,02170000200,02063000300,02020000204,02170000601,02020002900,02020000102"
02020002603,6434,"02020002602,02020002601,02020980000,02020002812"
02020001100,1657,"02020001000,02020000601,02020000500,02020001200"
02020002822,4135,"02020002823,02020002813,02020002812,02020002713,02020002821"
02020002900,2503,"02020980200,02063000300,02020000204,02020000101,02122000300,02020002823,02020002813"
02020002301,7653,"02170000502,02020002201,02020001300,02170000604,02020002302,02020002400,02122000200,02020002711,02020002304"
02020980100,4592,"02020980200,02020000602,02020000601,02020000500,02170000604,02020000701,02020000702,02020000703,02020000801"
02020000205,7421,"02020000201,02020000204,02020000202,02020000206"
02020001401,2928,"02020001402,02020001500,02020001300,02020001200,02020002000,02020001900"
02020980000,5,"02020001602,02020980200,02020001732,02020002602,02020002603,02020001802,02020001701,02020002813,02020002812"
02020002714,4593,"02020002711,02020002713,02020002712"
02020000206,3413,"02020000204,02020000202,02020000205,02020000102"
02020002713,4903,"02122000300,02122000200,02020002823,02020002822,02020002812,02020002711,02020002714,02020002712,02020002821"
02020000601,4328,"02020001000,02020000602,02020000500,02020980100,02020000901,02020001100"
02020000602,2716,"02020000601,02020980100,02020000901,02020000801"
02020980200,6725,"02020001732,02020980100,02020000201,02170000604,02020000703,02020001731,02020000204,02170000601,02020002900,02020000102,02020980000,02020002813"
02020001402,2168,"02020001401,02020001000,02020001500,02020001200"
02020002305,2647,"02020002302,02020002501,02020002711,02020002304,02020002712"
02020002304,6312,"02020002301,02020002302,02020002711,02020002305"
02170000501,2007,"02170000502,02170000603,02170000701,02170000401,02170000604"
02170001202,5025,"02170001100,02170000300,02170001201"
02170001003,4128,"02170000800,02170000705,02170001004,02170001001"
02170000603,7887,"02170000900,02170000701,02170000703,02170000604,02170000601,02170000501"
02185000100,4934,"02185000200"
02185000200,3367,"02185000100,02290000100,02185000300,02290000200,02188000100"
02185000300,2730,"02185000200"
02122001000,4370,"02122001200,02122001100,02122000900"
02275000300,2127,"02195000200,02130000102,02198000100"
02195000200,3398,"02105000400,02275000300,02198000100"
02050000200,6325,"02050000100"
02050000300,1456,"02158000100,02290000400,02170000101,02164000100,02070000100,02050000100,02122000100"
02050000100,10885,"02158000100,02050000300,02070000100,02050000200"
02090000100,1563,"02090000300,02090980000,02090000400,02090000500,02090000200"
02090000300,4709,"02090980000,02090001000,02090000200,02090000100"
02090000400,4582,"02090980000,02090000500,02090001300,02090001200,02090000100"
02090000700,4094,"02090000600,02090001000,02090000800,02090000200"
02090001700,1345,"02290000100,02090001600,02090980100,02090001501,02240000100,02240000400,02090980000,02090001902"
02090001300,5630,"02090001901,02090001902,02090000400,02090000500,02090000600,02090000900,02090000800,02090001200"
02090000500,2467,"02090000400,02090001300,02090000600,02090000200,02090000100"
02090000600,3753,"02090000700,02090000500,02090001300,02090000800"
02090001200,6743,"02090001401,02090980000,02090001902,02090000400,02090001300"
02090000200,3244,"02090000700,02090000300,02090000500,02090001000,02090000100"
02090001600,4716,"02090001402,02090001502,02090001501,02090980000,02090001700"
02090000900,6002,"02090001901,02090980000,02090001300,02090001000,02090000800"
02090001000,1348,"02090000700,02090000300,02090980000,02090000900,02090000800,02090000200"
02090000800,5010,"02090000700,02090001300,02090000600,02090000900,02090001000"
02122000800,4003,"02122000100,02122001200,02122001100,02122000400,02122000900,02122000701"
02122000100,214,"02050000300,02170000101,02164000100,02150000100,02122001200,02122000200,02122000800,02122000701,02122000702,02122000600"
02122000900,2494,"02122001200,02122001100,02122001000,02122000800"
02122001100,3459,"02122001200,02122000400,02122001000,02122000900,02122000800"
02122000300,975,"02063000300,02122000400,02020002900,02122000200,02122001300,02020002823,02020002713"
02122000400,7022,"02122001200,02122001100,02122000500,02122000300,02122000200,02122001300,02122000800,02122000701"
02122000500,6560,"02122000400,02122000200,02122000701,02122000702,02122000600"
02122000600,7424,"02122000100,02122000500,02122000200,02122000702"
02122000200,5692,"02170000101,02170000502,02020002301,02122000100,02122000400,02122000500,02122000300,02020002711,02020002713,02122000600"
02122001200,957,"02122000100,02122001100,02122000400,02122001000,02122001300,02122000900,02122000800"
02122001300,4939,"02063000300,02122001200,02122000400,02122000300"
02105000400,2365,"02282000100,02110000600,02110000100,02100000100,02195000200,02110000500,02198000100,02220000100"
02164000100,1476,"02050000300,02070000100,02150000100,02013000100,02060000100,02122000100"
02016000200,4254,"02013000100,02016000100"
02016000100,978,"02016000200"
02090980000,9798,"02290000200,02068000100,02090001600,02090000300,02090001402,02090001901,02090001401,02240000400,02090001700,02090000400,02090000900,02090001000,02090001200,02090000100"
02170000502,2276,"02170000101,02020002301,02170000401,02170000604,02170000402,02170000501,02122000200"
02020000201,4318,"02020980200,02020000204,02020000202,02020000205,02020000102"
02130000200,4414,"02130000102,02130000101,02130000300"
02130000300,3782,"02130000102,02130000400,02130000200"
02240000400,4695,"02068000100,02170000101,02066000100,02240000100,02090980000,02090001700"
02158000100,8368,"02180000100,02290000400,02050000300,02050000100"
02282000100,662,"02063000200,02066000100,02105000400"
02070000200,2352,"02070000100"
02070000100,2505,"02050000300,02070000200,02164000100,02060000100,02050000100"
02110000300,5983,"02110000600,02110000400,02110000200,02110000100"
02110000400,5148,"02110000600,02110000300,02110000200,02110000100,02110000500"
02110000600,5565,"02110000300,02110000400,02105000400,02110000100,02110000500"
02110000100,5212,"02110000600,02110000300,02110000400,02110000200,02105000400,02100000100,02110000500"
02110000200,7064,"02110000300,02110000400,02110000100"
02110000500,3283,"02110000600,02110000400,02105000400,02110000100,02100000100"
02090980100,2723,"02090001501,02090001700,02090001902"
02090001501,4442,"02090001600,02090001402,02090001502,02090980100,02090001401,02090001700,02090001902"
02090001902,5255,"02290000100,02290000200,02090980100,02090001901,02090001501,02090001401,02090001700,02090001300,02090001200"
02090001402,4658,"02090001600,02090001502,02090001501,02090001401,02090980000"
02090001502,5097,"02090001600,02090001402,02090001501"
02090001901,5700,"02290000200,02090980000,02090001902,02090001300,02090000900"
02090001401,2776,"02090001402,02090001501,02090980000,02090001902,02090001200"
02290000400,1071,"02180000100,02290000200,02290000300,02068000100,02158000100,02050000300,02170000101"
02290000100,1086,"02185000200,02290000200,02240000100,02090001700,02090001902"
02290000200,1478,"02290000100,02185000200,02290000300,02068000100,02188000100,02290000400,02090001901,02090980000,02090001902"
02290000300,1708,"02180000100,02290000200,02188000100,02290000400"
02068000100,1619,"02290000200,02290000400,02170000101,02240000400,02090980000"
02170001100,7354,"02170001300,02170000300,02170001201,02170001004,02170001001,02170001202,02170000601"
02170000200,1741,"02170000101,02170001300,02170000300,02063000300,02066000100,02020000101,02170000102"
02170000800,5621,"02170000900,02170000703,02170000705,02170001004,02170001003"
